OBJECTID,Vehicle Year,Vehicle Make,Vehicle Model,Vehicle Style,Vehicle Colour,Vehicle Value,Weekday,Recovered,Neighbourhood,Ward,Sector,Reported Date,Occurred Date,Year,Intersection,Division,Census Tract,Time of Day,Councillor,Reported Hour,Occurred Hour,x,y
1,2000,"HONDA/AMERICAN HONDA MOTOR CO.,",CIVIC (AND CRX),Automobile,DGR,,Monday,Y,Carson Grove - Carson Meadows,Ward 11 - Beacon Hill-Cyrville,Sector 32,1/1/2018 5:00:00 AM,1/1/2018 5:00:00 AM,2018,"CARVER PL, CARVER PL",East,5050122.03,Night,Tim Tierney,700,0,372982.411,5032956.894
2,2009,"HONDA/AMERICAN HONDA MOTOR CO.,",PILOT,Automobile,BLU,5000,Friday,Y,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,Ward 19 - Orléans South-Navan,Sector 31,1/1/2018 5:00:00 AM,11/17/2017 5:00:00 AM,2018,"LICHEN AVE, SCALA AVE",East,5050171.07,Night,Catherine Kitts,1200,0,385075.4691,5036379.9432
3,2007,INTERNATIONAL HARVESTER CO./ CUB CADET/ CUSTOM SCO,,Truck,ONG,,Monday,Y,East Industrial,Ward 18 - Alta Vista,Sector 33,1/1/2018 5:00:00 AM,1/1/2018 5:00:00 AM,2018,"LIVERPOOL CRT, NEWMARKET ST",East,5050011.01,Night,Marty Carr,900,200,373498.921,5030382.5545
4,2010,CHEVROLET,SILVERADO,Automobile,GRY,,Monday,Y,Orléans Queenswood Heights,Ward 1 - Orléans East-Cumberland,Sector 31,1/1/2018 5:00:00 AM,1/1/2018 5:00:00 AM,2018,"DEAVY WAY, PRESTONE DR",East,5050170.03,Night,Matthew Luloff,1200,100,382876.9407,5037775.574
5,2003,CHEVROLET,CAVALIER,Automobile,WHI,,Tuesday,Y,Hintonburg - Mechanicsville,Ward 15 - Kitchissippi,Sector 21,1/2/2018 5:00:00 AM,1/2/2018 5:00:00 AM,2018,"BARNSLEY PRIV, FORWARD AVE",Central,5050046.00,Morning,Jeff Leiper,800,800,364909.3633,5030031.4129
6,2016,HYUNDAI,ACCENT,Automobile,BRN,,Saturday,Y,Vanier South,Ward 12 - Rideau-Vanier,Sector 25,1/2/2018 5:00:00 AM,12/30/2017 5:00:00 AM,2018,"ALFRED ST, MONTREAL RD",Central,5050102.00,Morning,Stéphanie Plante,900,900,370944.9046,5033529.5861
7,2002,"HONDA/AMERICAN HONDA MOTOR CO.,",CIVIC (AND CRX),Automobile,BGE,,Sunday,Y,Vanier North,Ward 12 - Rideau-Vanier,Sector 25,1/3/2018 5:00:00 AM,12/31/2017 5:00:00 AM,2018,"DESROSIERS, RUE ST, JEANNEVILLE PRIV",Central,5050101.00,Evening,Stéphanie Plante,1900,2300,370002.6398,5033190.8152
8,2007,AUDI,Q7,Suv,BLK,,Tuesday,N,Hunt Club Upper -Blossom Park - Timbermill,Ward 10 - Gloucester-Southgate,Sector 35,1/3/2018 5:00:00 AM,1/2/2018 5:00:00 AM,2018,"VICTORIA HEIGHTS CRES, GRAND AVE",East,5050123.03,Evening,Jessica Bradley,700,2000,373181.9307,5023636.5066
9,2008,"TOYOTA/ TOYOTA MOTOR CO., LTD.",TACOMA,Truck,RED,,Wednesday,Y,Vanier North,Ward 12 - Rideau-Vanier,Sector 25,1/3/2018 5:00:00 AM,1/3/2018 5:00:00 AM,2018,"DESCHAMPS AVE, OLMSTEAD ST",Central,5050101.00,Afternoon,Stéphanie Plante,1200,1200,370239.3496,5033328.4703
10,2014,FORT SMITH CAMPER MFG. CO.,,Other,BLK,,Thursday,N,West Centertown,Ward 14 - Somerset,Sector 22,1/4/2018 5:00:00 AM,1/4/2018 5:00:00 AM,2018,"GLADSTONE AVE, ROCHESTER ST",Central,5050042.00,Afternoon,Ariel Troster,1900,1700,366662.8962,5029786.5589
11,2009,GENERAL MOTORS CORP.,SIERRA,Truck,WHI,,Thursday,Y,Vanier South,Ward 12 - Rideau-Vanier,Sector 25,1/4/2018 5:00:00 AM,1/4/2018 5:00:00 AM,2018,"ALLEN BLVD, RENE-DORE WAY",Central,5050100.00,Morning,Stéphanie Plante,1100,800,370791.1555,5032554.9443
12,2016,FORD,F150,Truck,WHI,,Wednesday,N,Greenbelt - Stony Swamp,Ward 9 - Knoxdale-Merivale,Sector 15,1/4/2018 5:00:00 AM,1/3/2018 5:00:00 AM,2018,"BRUIN RD, CEDARVIEW RD",West,5050135.02,Evening,Sean Devine,1300,2000,359230.7201,5020936.0358
13,2001,"TOYOTA/ TOYOTA MOTOR CO., LTD.",COROLLA,Automobile,DGR,,Friday,Y,Centretown,Ward 14 - Somerset,Sector 23,1/5/2018 5:00:00 AM,1/5/2018 5:00:00 AM,2018,"BAY ST, GLADSTONE AVE",Central,5050039.00,Evening,Ariel Troster,1900,1800,367463.582,5030286.8689
14,2008,,,Snowmobile,BLK,5000,Friday,N,Fitzroy,Ward 5 - West Carleton-March,Sector 11,1/7/2018 5:00:00 AM,1/5/2018 5:00:00 AM,2018,"CANON SMITH DR, GALETTA SIDE RD",West,5050301.00,Evening,Clarke Kelly,1100,2200,329168.4118,5036253.5081
15,2008,"TOYOTA/ TOYOTA MOTOR CO., LTD.",YARIS,Automobile,WHI,,Monday,Y,Glebe - Dows Lake,Ward 17 - Capital,Sector 22,1/8/2018 5:00:00 AM,1/8/2018 5:00:00 AM,2018,"BANK ST, FIFTH AVE",Central,5050018.00,Night,Shawn Menard,100,100,368399.8309,5029397.2329
16,,,,Automobile,,,Wednesday,Y,West Centertown,Ward 14 - Somerset,Sector 22,1/8/2018 5:00:00 AM,7/19/2017 5:00:00 AM,2018,"ARLINGTON AVE, CAMBRIDGE ST",Central,5050042.00,Morning,Ariel Troster,1600,800,367120.8979,5029823.5589
17,2012,CHEVROLET,EQUINOX,Automobile,RED,,Tuesday,Y,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,Ward 1 - Orléans East-Cumberland,Sector 31,1/9/2018 5:00:00 AM,1/9/2018 5:00:00 AM,2018,"BALLANTYNE DR, UNICORN AVE",East,5050170.13,Night,Matthew Luloff,200,200,385678.4652,5037129.774
18,2009,"TOYOTA/ TOYOTA MOTOR CO., LTD.",SIENNA (VAN),Truck,RED,8000,Monday,N,Riverside South - Leitrim,Ward 22 - Riverside South-Findlay Creek,Sector 35,1/9/2018 5:00:00 AM,1/8/2018 5:00:00 AM,2018,"HELEN RAPP WAY,SILVERBELL CRES,KELLY FARM DR",East,5050126.08,Evening,Steve Desroches,900,2100,375507.9276,5019745.6318
19,2016,NISSAN,ROGUE,Automobile,BLK,30000,Tuesday,Y,Centretown,Ward 14 - Somerset,Sector 23,1/9/2018 5:00:00 AM,1/9/2018 5:00:00 AM,2018,"ALBERT ST, BANK ST",Central,5050048.00,Evening,Ariel Troster,2100,1800,367385.8961,5031422.5726
20,2017,"TOYOTA/ TOYOTA MOTOR CO., LTD.",CAMRY,,GRY,,Thursday,,,,,1/10/2018 5:00:00 AM,3/16/2017 5:00:00 AM,2018,,,,Morning,,800,1100
21,2018,SUBARU,FORRESTER,Automobile,WHI,,Friday,Y,Merivale Gardens - Grenfell Glen - Pineglen - Country Place,Ward 9 - Knoxdale-Merivale,Sector 17,1/10/2018 5:00:00 AM,11/17/2017 5:00:00 AM,2018,"ENTERPRISE AVE, TRADE ST",West,5050130.01,Morning,Sean Devine,1100,800,365623.895,5021301.4884
22,,CATERPILLAR INC,,Other,,30000,Friday,N,Rothwell Heights - Beacon Hill North,Ward 11 - Beacon Hill-Cyrville,Sector 32,1/12/2018 5:00:00 AM,12/29/2017 5:00:00 AM,2018,"CANOTEK RD, CANOTEK RD",East,5050120.02,Evening,Tim Tierney,1500,2300,376519.9195,5035505.5867
23,2015,"HONDA/AMERICAN HONDA MOTOR CO.,",CRV,Suv,BLK,,Thursday,Y,Borden Farm - Stewart Farm - Parkwood Hills - Fisher Glen,Ward 9 - Knoxdale-Merivale,Sector 17,1/12/2018 5:00:00 AM,1/11/2018 5:00:00 AM,2018,"CHESTERTON DR, WOODMOUNT CRES E",West,5050131.01,Evening,Sean Devine,600,2100,365590.5137,5023901.2032
24,1999,"TOYOTA/ TOYOTA MOTOR CO., LTD.",TERCEL,Automobile,GRN,1000,Saturday,N,Lowertown,Ward 12 - Rideau-Vanier,Sector 24,1/13/2018 5:00:00 AM,1/13/2018 5:00:00 AM,2018,"FRIEL ST, RIDEAU ST",Central,5050053.00,Night,Stéphanie Plante,0,0,368771.8989,5032569.5813
25,2015,DODGE,,Van,BLU,,Saturday,Y,Crestview - Meadowlands,Ward 8 - College,Sector 17,1/13/2018 5:00:00 AM,1/13/2018 5:00:00 AM,2018,"NAVAHO DR, DEERFIELD DR",West,5050133.00,Evening,Laine Johnson,1900,1800,363163.0155,5023960.3581
