OBJECTID,ID,Year,Reported Date,Occurred Date,Weekday,Hate Crime Type,Hate Crime Motivation,Offence Category,Neighbourhood,Sector,Division,Census Tract,Ward,Councillor,Offence Type
1,1,2021,1/7/2021 5:00:00 AM,1/5/2021 5:00:00 AM,Tuesday,Race/Ethnicity,Black,Mischief To Property,Hunt Club Upper -Blossom Park - Timbermill,Sector 35,East,5050123.04,Ward 10 - Gloucester-Southgate,Jessica Bradley,Criminal
2,2,2021,1/14/2021 5:00:00 AM,1/14/2021 5:00:00 AM,Thursday,Religion,Jewish,Mischief To Property,Stittsville,Sector 13,West,5050151.10,Ward 6 - Stittsville,Glen Gower,Criminal
3,3,2021,1/20/2021 5:00:00 AM,1/20/2021 5:00:00 AM,Wednesday,Race/Ethnicity,Black,Mischief To Property,Centretown,Sector 23,Central,5050038.00,Ward 14 - Somerset,Ariel Troster,Criminal
4,4,2021,1/21/2021 5:00:00 AM,1/21/2021 5:00:00 AM,Thursday,Race/Ethnicity,Black,Assault With Weapon Or Cbh Lv2,Crestview - Meadowlands,Sector 17,West,5050133.00,Ward 8 - College,Laine Johnson,Criminal
5,5,2021,1/22/2021 5:00:00 AM,1/22/2021 5:00:00 AM,Friday,Race/Ethnicity,Multiple Races/Ethnicities,Mischief With Data,Manotick East,Sector 36,East,5050191.01,Ward 20 - Osgoode,Isabelle Skalski,Criminal
6,6,2021,1/25/2021 5:00:00 AM,1/24/2021 5:00:00 AM,Sunday,Sexual Orientation,LGBTQ2+,Mischief To Property,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,Sector 31,East,5050170.12,Ward 1 - Orléans East-Cumberland,Matthew Luloff,Criminal
7,7,2021,1/25/2021 5:00:00 AM,1/25/2021 5:00:00 AM,Monday,Sexual Orientation,LGBTQ2+,Assault With Weapon Or Cbh Lv2,Centretown,Sector 23,Central,5050037.01,Ward 14 - Somerset,Ariel Troster,Criminal
8,8,2021,1/26/2021 5:00:00 AM,1/26/2021 5:00:00 AM,Tuesday,Religion,Other Religion,Intimidate Non-Just Particpant,Centretown,Sector 23,Central,5050048.00,Ward 14 - Somerset,Ariel Troster,Criminal
9,9,2021,1/27/2021 5:00:00 AM,1/27/2021 5:00:00 AM,Wednesday,Race/Ethnicity,"Arab(West Asian,Middle Eastern and North African origins)",Assault With Weapon Or Cbh Lv2,Russell - Edwards,Sector 37,East,5050126.08,Ward 22 - Riverside South-Findlay Creek,Steve Desroches,Criminal
10,10,2021,1/28/2021 5:00:00 AM,1/20/2021 5:00:00 AM,Wednesday,Sexual Orientation,Other sexual orientation,Wilful Promotion Of Hatred,Centretown,Sector 23,Central,5050037.02,Ward 14 - Somerset,Ariel Troster,Criminal
11,11,2021,2/1/2021 5:00:00 AM,2/1/2021 5:00:00 AM,Monday,Sexual Orientation,LGBTQ2+,Mischief To Property,Orléans Chapel Hill,Sector 31,East,5050125.04,Ward 2 - Orléans West-Innes,Laura Dudas,Criminal
12,12,2021,2/4/2021 5:00:00 AM,2/4/2021 5:00:00 AM,Thursday,Religion,Jewish,Mischief To Property,Glen Cairn - Kanata South Business Park,Sector 13,West,5050162.02,Ward 6 - Stittsville,Glen Gower,Criminal
13,13,2021,2/9/2021 5:00:00 AM,2/8/2021 5:00:00 AM,Monday,Religion,Jewish,Mischief To Property,Overbrook - McArthur,Sector 25,Central,5050012.00,Ward 13 - Rideau-Rockcliffe,Rawlson King,Criminal
14,14,2021,2/13/2021 5:00:00 AM,2/11/2021 5:00:00 AM,Thursday,Race/Ethnicity,Black,Threats Utter To Person,Orléans Queenswood Heights,Sector 31,East,5050170.05,Ward 1 - Orléans East-Cumberland,Matthew Luloff,Criminal
15,15,2021,2/20/2021 5:00:00 AM,2/20/2021 5:00:00 AM,Saturday,Race/Ethnicity,East and Southeast Asian,Assault Level 1,Centretown,Sector 23,Central,5050040.00,Ward 14 - Somerset,Ariel Troster,Criminal
16,16,2021,2/23/2021 5:00:00 AM,2/23/2021 5:00:00 AM,Tuesday,Race/Ethnicity,Black,Mischief To Property,Glebe - Dows Lake,Sector 22,Central,5050019.00,Ward 17 - Capital,Shawn Menard,Criminal
17,17,2021,2/23/2021 5:00:00 AM,2/23/2021 5:00:00 AM,Tuesday,Race/Ethnicity,Black,Assault With Weapon Or Cbh Lv2,Ledbury - Heron Gate - Ridgemont - Elmwood,Sector 34,East,5050007.02,Ward 18 - Alta Vista,Marty Carr,Criminal
18,18,2021,2/26/2021 5:00:00 AM,2/19/2021 5:00:00 AM,Friday,Religion,Jewish,Mischief To Property,Stittsville,Sector 13,West,5050151.05,Ward 6 - Stittsville,Glen Gower,Criminal
19,19,2021,2/28/2021 5:00:00 AM,2/28/2021 5:00:00 AM,Sunday,Race/Ethnicity,Unknown race/ethnicity,Threats Utter To Person,Carson Grove - Carson Meadows,Sector 32,East,5050062.01,Ward 13 - Rideau-Rockcliffe,Rawlson King,Non-Criminal
20,20,2021,3/5/2021 5:00:00 AM,3/5/2021 5:00:00 AM,Friday,Sexual Orientation,Other sexual orientation,Harass Crim Stalking,Britannia Village,Sector 14,West,5050030.00,Ward 7 - Bay,Theresa Kavanagh,Criminal
21,21,2021,3/7/2021 5:00:00 AM,3/7/2021 5:00:00 AM,Sunday,Religion,Jewish,Mischief To Property,Centretown,Sector 23,Central,5050042.00,Ward 14 - Somerset,Ariel Troster,Criminal
22,22,2021,3/10/2021 5:00:00 AM,3/10/2021 5:00:00 AM,Wednesday,Religion,Muslim (Islam),Indecent Acts,Bells Corners West,Sector 15,West,5050136.02,Ward 8 - College,Laine Johnson,Criminal
23,23,2021,3/14/2021 5:00:00 AM,3/14/2021 5:00:00 AM,Sunday,Gender,Woman,Mischief To Property,Stittsville,Sector 13,West,5050151.06,Ward 6 - Stittsville,Glen Gower,Criminal
24,24,2021,3/14/2021 5:00:00 AM,3/14/2021 5:00:00 AM,Sunday,Religion,Catholic,Mischief To Property,Katimavik - Hazeldean,Sector 13,West,5050160.04,Ward 23 - Kanata South,Allan Hubley,Criminal
25,25,2021,3/16/2021 5:00:00 AM,3/8/2021 5:00:00 AM,Monday,Race/Ethnicity,East and Southeast Asian,Threats Utter To Person,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,Sector 31,East,5050171.15,Ward 19 - Orléans South-Navan,Catherine Kitts,Criminal
26,26,2021,3/18/2021 5:00:00 AM,3/18/2021 5:00:00 AM,Thursday,Gender,Woman,Suspicious Circumstance(S),Glebe - Dows Lake,Sector 22,Central,5050018.00,Ward 17 - Capital,Shawn Menard,Non-Criminal
27,27,2021,3/21/2021 5:00:00 AM,3/21/2021 5:00:00 AM,Sunday,Sexual Orientation,LGBTQ2+,Mischief To Property,Carlingwood West - Glabar Park - McKellar Heights,Sector 14,West,5050031.00,Ward 7 - Bay,Theresa Kavanagh,Criminal
28,28,2021,3/22/2021 5:00:00 AM,3/22/2021 5:00:00 AM,Monday,Race/Ethnicity,Black,Harass Crim Stalking,Emerald Woods - Sawmill Creek,Sector 35,East,5050123.01,Ward 10 - Gloucester-Southgate,Jessica Bradley,Criminal
