OBJECTID,Year,Reported Date,Occurred Date,Weekday,Offence Category,Sector,Division,Neighbourhood,Ward,Councillor,x,y
1,2018,1/9/2018 5:00:00 AM,1/9/2018 5:00:00 AM,Wednesday,Murder 1st Dgree,35,East,Hunt Club East - Western Community,Ward 16 - River,Riley Brockington,369457.721100002,5023575.51099946
2,2018,1/17/2018 5:00:00 AM,1/17/2018 5:00:00 AM,Thursday,Murder 2nd Dgree,15,West,Bells Corners West,Ward 8 - College,Laine Johnson,356864.409,5019946.87009946
3,2018,1/18/2018 5:00:00 AM,1/18/2018 5:00:00 AM,Friday,Murder 2nd Dgree,23,Central,Centretown,Ward 14 - Somerset,Ariel Troster,368556.709000002,5030905.57099946
4,2018,2/4/2018 5:00:00 AM,2/4/2018 5:00:00 AM,Monday,Murder 1st Dgree,17,West,Merivale Gardens - Grenfell Glen - Pineglen - Country Place,Ward 9 - Knoxdale-Merivale,Sean Devine,367007.709000002,5021297.49099946
5,2018,2/10/2018 5:00:00 AM,2/8/2018 5:00:00 AM,Friday,Murder 1st Dgree,31,East,Orléans Chatelaine Village,Ward 1 - Orléans East-Cumberland,Matthew Luloff,383559.907100009,5039618.70109946
6,2018,2/11/2018 5:00:00 AM,2/5/2018 5:00:00 AM,Tuesday,Murder 1st Dgree,17,West,Cityview - Skyline - Fisher Heights,Ward 9 - Knoxdale-Merivale,Sean Devine,365289.700000003,5025022.52189946
7,2018,3/4/2018 5:00:00 AM,3/4/2018 5:00:00 AM,Monday,Murder 2nd Dgree,34,East,Billings Bridge - Alta Vista,Ward 17 - Capital,Shawn Menard,369015.965000001,5027429.15499946
8,2018,3/28/2018 5:00:00 AM,3/28/2018 5:00:00 AM,Thursday,Murder 2nd Dgree,15,West,Centrepointe,Ward 8 - College,Laine Johnson,361753.681900002,5023011.50299946
9,2018,4/11/2018 5:00:00 AM,4/11/2018 5:00:00 AM,Thursday,Murder 1st Dgree,31,East,Greenbelt - Mer Bleue,Ward 19 - Orléans South-Navan,Catherine Kitts,377183.741100004,5032160.56189946
10,2018,5/5/2018 5:00:00 AM,5/5/2018 5:00:00 AM,Sunday,Murder 1st Dgree,33,East,Hawthorne Meadows - Sheffield Glen,Ward 18 - Alta Vista,Marty Carr,373800.548700003,5029100.07909946
11,2018,5/24/2018 5:00:00 AM,5/24/2018 5:00:00 AM,Friday,Murder 1st Dgree,23,Central,Centretown,Ward 14 - Somerset,Ariel Troster,367948.704900004,5031549.57809946
12,2018,5/27/2018 5:00:00 AM,5/27/2018 5:00:00 AM,Monday,Murder 1st Dgree,35,East,Greenboro East,Ward 10 - Gloucester-Southgate,Jessica Bradley,372073.732100003,5024695.51809946
13,2018,9/15/2018 5:00:00 AM,9/15/2018 5:00:00 AM,Sunday,Murder 1st Dgree,35,East,Hunt Club Woods - Quintarra - Revelstoke,Ward 16 - River,Riley Brockington,370077.721900004,5025791.52789946
14,2018,10/29/2018 5:00:00 AM,10/29/2018 5:00:00 AM,Tuesday,Murder 1st Dgree,21,Central,Hintonburg - Mechanicsville,Ward 15 - Kitchissippi,Jeff Leiper,365138.452100002,5029890.54109946
15,2018,11/23/2018 5:00:00 AM,11/23/2018 5:00:00 AM,Saturday,Murder 1st Dgree,35,East,South Keys - Heron Gate - Greenboro West,Ward 10 - Gloucester-Southgate,Jessica Bradley,370852.239900004,5024838.49869946
16,2019,1/13/2019 5:00:00 AM,1/10/2019 5:00:00 AM,Friday,Murder 2nd Dgree,14,West,Whitehaven - Queensway Terrace North,Ward 7 - Bay,Theresa Kavanagh,359558.671000002,5024103.51209946
17,2019,2/8/2019 5:00:00 AM,2/8/2019 5:00:00 AM,Saturday,Murder 2nd Dgree,24,Central,Lowertown,Ward 12 - Rideau-Vanier,Stéphanie Plante,368601.704900002,5032846.58899946
18,2019,2/20/2019 5:00:00 AM,2/20/2019 5:00:00 AM,Thursday,Murder 2nd Dgree,25,Central,Vanier North,Ward 12 - Rideau-Vanier,Stéphanie Plante,369874.707100004,5034030.59809946
19,2019,4/6/2019 5:00:00 AM,4/6/2019 5:00:00 AM,Sunday,Murder 2nd Dgree,25,Central,Vanier North,Ward 12 - Rideau-Vanier,Stéphanie Plante,370236.707900002,5033852.59589946
20,2019,4/18/2019 5:00:00 AM,4/18/2019 5:00:00 AM,Friday,Murder 2nd Dgree,24,Central,Byward Market,Ward 12 - Rideau-Vanier,Stéphanie Plante,367866.786200002,5032275.26129946
21,2019,5/14/2019 5:00:00 AM,5/13/2019 5:00:00 AM,Tuesday,Murder 1st Dgree,25,Central,Overbrook - McArthur,Ward 13 - Rideau-Rockcliffe,Rawlson King,370790.963000004,5032555.94899946
22,2019,5/27/2019 5:00:00 AM,5/27/2019 5:00:00 AM,Tuesday,Murder 2nd Dgree,34,East,Ledbury - Heron Gate - Ridgemont - Elmwood,Ward 10 - Gloucester-Southgate,Jessica Bradley,371501.727900005,5026253.53009946
23,2019,6/7/2019 5:00:00 AM,6/7/2019 5:00:00 AM,Saturday,Murder 2nd Dgree,24,Central,Byward Market,Ward 12 - Rideau-Vanier,Stéphanie Plante,367930.704100003,5032342.58489946
24,2019,7/1/2019 5:00:00 AM,7/1/2019 5:00:00 AM,Tuesday,Murder 2nd Dgree,24,Central,Byward Market,Ward 12 - Rideau-Vanier,Stéphanie Plante,368157.704100003,5032315.58489946
25,2019,9/8/2019 5:00:00 AM,9/8/2019 5:00:00 AM,Monday,Murder 2nd Dgree,25,Central,Overbrook - McArthur,Ward 13 - Rideau-Rockcliffe,Rawlson King,370744.715100003,5031929.57699946
26,2019,10/31/2019 5:00:00 AM,10/31/2019 5:00:00 AM,Friday,Murder 1st Dgree,24,Central,Lowertown,Ward 12 - Rideau-Vanier,Stéphanie Plante,368291.704100003,5032753.58899946
27,2019,11/1/2019 5:00:00 AM,10/31/2019 5:00:00 AM,Friday,Murder 2nd Dgree,22,Central,West Centertown,Ward 14 - Somerset,Ariel Troster,366808.946000004,5028985.33809946
28,2019,11/27/2019 5:00:00 AM,11/27/2019 5:00:00 AM,Thursday,Murder 1st Dgree,33,East,Hunt Club Park,Ward 10 - Gloucester-Southgate,Jessica Bradley,373980.122300005,5025767.74129946
29,2020,1/8/2020 5:00:00 AM,1/8/2020 5:00:00 AM,Thursday,Murder 1st Dgree,23,Central,Centretown,Ward 14 - Somerset,Ariel Troster,367617.249600002,5030672.87149946
30,2020,2/3/2020 5:00:00 AM,2/2/2020 5:00:00 AM,Monday,Murder 2nd Dgree,32,East,Cummings,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,373014.728500004,5032119.54829946
31,2020,3/19/2020 5:00:00 AM,3/19/2020 5:00:00 AM,Friday,Murder 2nd Dgree,24,Central,Lowertown,Ward 12 - Rideau-Vanier,Stéphanie Plante,368291.704100003,5032753.58899946
32,2020,4/13/2020 5:00:00 AM,4/10/2020 5:00:00 AM,Saturday,Murder 1st Dgree,14,West,Whitehaven - Queensway Terrace North,Ward 7 - Bay,Theresa Kavanagh,359890.284100001,5023986.34299946
33,2020,5/15/2020 5:00:00 AM,5/15/2020 5:00:00 AM,Saturday,Manslaughter,17,West,Cityview - Skyline - Fisher Heights,Ward 9 - Knoxdale-Merivale,Sean Devine,365103.459900001,5024007.82539946
34,2020,7/27/2020 5:00:00 AM,7/27/2020 5:00:00 AM,Tuesday,Murder 1st Dgree,32,East,Carson Grove - Carson Meadows,Ward 13 - Rideau-Rockcliffe,Rawlson King,372741.361600004,5034102.57509946
