FID,namese2016,namesf2016,popest2016,Shape_Leng,Shape_Area,Shape__Area,Shape__Length
1,Old Barrhaven West,Old Barrhaven West,16880.4871431,11076.7919417,5093790.6626,10287503.375,15742.8575314767
2,Beacon Hill South - Cardinal Heights,Beacon Hill South - Cardinal Heights,7194.87688538,7266.55219978,2229948.33143,4529659.328125,10356.2876490146
3,Beaverbrook,Beaverbrook,6715.25408328,7096.5062823,2839166.85032,5744205.51171875,10094.7755755253
4,Bells Corners East,Bells Corners East,4728.59507087,7784.61189757,3353199.86609,6783240.609375,11070.0203960993
5,Bells Corners West,Bells Corners West,4158.18568156,5209.77307012,1375867.77303,2782653.3203125,7411.61304941143
6,Billings Bridge - Alta Vista,Billings Bridge - Alta Vista,12652.8045264,11625.9627277,6372676.54228,12919651.78125,16553.184090871
7,Hunt Club Upper -Blossom Park - Timbermill,Hunt Club Upper -Blossom Park - Timbermill,8614.00998071,10635.2523971,4362924.28655,8834178.6875,11961.6833848604
8,Borden Farm - Fisher Glen,Borden Farm - Fisher Glen,6960.2967785,9129.86973031,2581215.78047,5226876.17578125,12991.7042199277
9,Braemar Park - Bel Air Heights - Copeland Park,Braemar Park - Bel Air Heights - Copeland Park,6727.34506188,7087.39291933,2352368.46448,4765173.67578125,10088.1630603277
10,Briar Green - Leslie Park,Briar Green - Leslie Park,5315.06319641,8156.69955317,1905757.14241,3857127.640625,11595.1611498371
11,Centretown,Centretown,24993.9575587,8540.75985563,3627990.0123,7363248.98046875,12165.9938839362
12,Carleton Heights - Rideauview,Carleton Heights - Rideauview,6852.20622197,8145.0747255,2445559.91697,4954154.24609375,11597.0781574335
13,Carlington,Carlington,10098.9868998,7506.35353428,2710658.73173,5494070.6171875,10685.1853320387
14,Laurentian,Laurentian,9654.43025605,10174.3494073,3921707.36994,7950284.48828125,14487.5563265213
15,Carlingwood West - Glabar Park - McKellar Heights,Carlingwood West - Glabar Park - McKellar Heights,8772.50877508,13290.1670155,3961644.01314,8028441.7265625,18923.0911680089
16,Carson Grove - Carson Meadows,Carson Grove - Carson Meadows,10694.4549744,8813.66708637,4456497.58865,9051191.10546875,12562.4115862258
17,Centrepointe,Centrepointe,7269.69135539,6108.91165254,2120107.78225,4291751.26953125,8690.87854339832
18,Chapel Hill North,Chapel Hill North,10798.1563977,8059.92312243,3784723.74525,7691098.03515625,11493.1965325438
19,Skyline - Fisher Heights,Skyline - Fisher Heights,4372.88502619,6916.65726718,1932529.69888,3914708.36328125,9844.05506190609
20,Civic Hospital-Central Park,Civic Hospital-Central Park,10979.676681,17677.8135026,7548447.34093,15300873.9648438,25168.8023917086
21,Cityview - Crestview - Meadowlands,Cityview - Crestview - Meadowlands,8544.89226614,8454.7667795,3955257.29644,8008244.3828125,12031.4147619864
22,Emerald Woods - Sawmill Creek,Emerald Woods - Sawmill Creek,5308.88896787,5862.53573632,1816614.44327,3677462.15625,8345.70450979816
23,Glebe - Dows Lake,Glebe - Dows Lake,12192.5029643,7598.08666308,3036593.32263,6159554.0078125,10819.9137782431
24,Greenboro West,Greenboro West,10721.7491357,7576.99085012,2178495.41185,4413102.0546875,10783.8104304456
25,Hawthorne Meadows - Sheffield Glen,Hawthorne Meadows - Sheffield Glen,6673.64752314,4617.84812575,1157737.16455,2347959,6576.19706728895
26,Hintonburg - Mechanicsville,Hintonburg - Mechanicsville,9367.65620925,7060.66050622,2163549.98607,4389534.203125,10058.7680426235
27,Hunt Club - Ottawa Airport,Hunt Club - Ottawa Airport,2458.98254354,18320.5449374,15297027.927,30946957.0898438,26070.3790093471
28,Hunt Club East - Western Community,Hunt Club East - Western Community,10783.5081523,8344.79970178,3430343.58548,6945865.33203125,11872.0538857049
29,Iris - Queensway Terrance South,Iris - Queensway Terrance South,5823.93634894,6518.76964245,2154577.43436,4362878.44921875,9276.30573740295
30,Island Park - Wellington Village,Island Park - Wellington Village,5338.56396901,8706.00709054,3559380.10591,7220921.06640625,12402.7628111041
31,Katimavik - Hazeldean,Katimavik - Hazeldean,11799.8135804,10064.3131795,5524807.63392,11169258.8515625,14308.0186262243
