student_id,SATscore,ACTscore
1,1018,25
2,1218,14
3,611,17
4,723,14
5,541,20
6,1482,21
7,1346,21
8,1441,22
9,1159,23
10,1195,19
11,763,21
12,1383,19
13,775,22
14,867,26
15,924,21
16,842,25
17,1172,19
18,954,20
19,987,23
20,958,23
21,1269,25
22,879,8
23,965,21
24,1085,23
25,671,21
26,903,14
27,1107,28
28,1233,24
29,1032,22
30,865,20
31,1289,23
32,956,15
33,1006,26
34,1036,21
35,987,14
36,892,11
37,1095,15
38,767,14
39,900,19
40,918,21
41,813,20
42,1017,19
43,1029,21
44,1015,21
45,969,21
46,1110,14
47,1340,22
48,1201,18
49,373,21
50,1228,13
51,626,30
52,644,14
53,1026,16
54,730,17
55,1311,25
56,1139,24
57,838,20
58,671,14
59,1066,15
60,1245,20
61,1019,26
62,1375,19
63,1107,14
64,1160,20
65,939,25
66,1076,25
67,955,25
68,623,18
69,1495,27
70,971,14
71,1023,17
72,1266,30
73,1022,14
74,1043,25
75,1086,28
76,770,23
77,1305,15
78,1072,20
79,878,17
80,1186,17
81,1071,7
82,810,11
83,1030,14
84,1000,21
85,1067,20
86,1075,26
87,1143,22
88,760,17
89,1000,22
90,816,13
91,1099,16
92,734,25
93,562,22
94,913,12
95,1509,22
96,1230,22
97,1017,30
98,1497,16
99,961,17
100,963,20
101,1171,20
102,1061,16
103,986,18
104,906,24
105,987,26
106,1211,16
107,738,18
108,866,15
109,1268,21
110,1506,19
111,632,30
112,1081,19
113,1326,22
114,955,20
115,884,15
116,1248,22
117,889,27
118,855,15
119,886,15
120,722,15
121,521,23
122,1231,24
123,1338,18
124,1045,22
125,960,23
126,1100,21
127,964,26
128,650,22
129,758,24
130,1085,26
131,922,24
132,689,20
133,712,19
134,1190,28
135,695,14
136,1227,19
137,1097,18
138,800,25
139,936,24
140,1032,18
141,1072,16
142,1051,18
143,1285,24
144,1185,24
145,898,25
146,966,18
147,818,22
148,895,21
149,1015,16
150,531,21
151,1020,12
152,991,25
153,950,18
154,739,15
155,885,19
156,847,22
157,988,23
158,513,25
159,934,21
160,1095,19
161,823,20
162,811,22
163,1147,23
164,1529,23
165,1122,15
166,1132,18
167,1009,15
168,1154,32
169,1119,13
170,813,20
171,1075,23
172,1184,17
173,857,20
174,1075,28
175,1251,9
176,1195,15
177,996,29
178,1413,13
179,1206,22
180,950,27
181,606,16
182,935,11
183,1027,23
184,924,24
185,1005,13
186,1328,17
187,1164,24
188,1269,13
189,725,17
190,1002,17
191,1266,24
192,834,30
193,1387,25
194,745,8
195,869,17
196,1303,19
197,563,26
198,1160,20
199,745,22
200,765,23
201,1006,11
202,985,22
203,1109,17
204,966,10
205,936,15
206,761,18
207,1052,27
208,498,11
209,1124,28
210,1038,29
211,1271,16
212,1278,20
213,711,26
214,1115,22
215,837,23
216,896,17
217,1152,22
218,1089,20
219,1088,23
220,982,20
221,1035,22
222,773,22
223,869,17
224,1118,16
225,762,24
226,870,15
227,1147,21
228,989,23
229,832,25
230,1057,24
231,1258,17
232,801,15
233,693,17
234,1021,15
235,823,21
236,926,13
237,884,17
238,818,23
239,987,27
240,1034,22
241,776,16
242,1192,22
243,1258,24
244,952,27
245,1026,23
246,1290,27
247,728,16
248,773,14
249,910,22
250,977,9
251,1107,16
252,1033,18
253,611,21
254,1196,12
255,1227,23
256,791,17
257,1091,23
258,855,19
259,898,28
260,844,19
261,1295,12
262,807,22
263,971,16
264,1091,21
265,807,18
266,930,19
267,960,21
268,1322,21
269,726,26
270,984,15
271,1029,22
